,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
4563,2020,14,albon,albon,23,4,7,7,6,58,+46.484,6185797,54,,Finished,1:39.099
4564,2020,14,norris,norris,4,14,8,8,5,58,+1:01.259,6200572,58,,Finished,1:36.806
4565,2020,14,stroll,stroll,18,1,9,9,2,58,+1:12.353,6211666,55,,Finished,1:39.921
4566,2020,14,ricciardo,ricciardo,3,5,10,10,1,58,+1:35.460,6234773,54,,Finished,1:40.677
4567,2020,14,ocon,ocon,31,7,11,11,0,57,,,55,,+1 Lap,1:41.006
4568,2020,14,kvyat,kvyat,26,16,12,12,0,57,,,53,,+1 Lap,1:41.019
4569,2020,14,gasly,gasly,10,19,13,13,0,57,,,53,,+1 Lap,1:39.586
4570,2020,14,bottas,bottas,77,9,14,14,0,57,,,57,,+1 Lap,1:38.193
4571,2020,14,raikkonen,raikkonen,7,8,15,15,0,57,,,57,,+1 Lap,1:39.743
4572,2020,14,russell,russell,63,0,16,16,0,57,,,51,,+1 Lap,1:40.814
4573,2020,14,kevin_magnussen,kevin_magnussen,20,13,17,17,0,55,,,45,,Withdrew,1:40.948
4574,2020,14,grosjean,grosjean,8,17,18,R,0,49,,,38,,Collision damage,1:43.281
4575,2020,14,latifi,latifi,6,0,19,R,0,39,,,32,,Collision damage,1:43.495
4576,2020,14,giovinazzi,giovinazzi,99,10,20,R,0,11,,,11,,Gearbox,1:51.122
4577,2020,15,hamilton,hamilton,44,1,1,1,25,57,2:59:47.515,10787515,38,,Finished,1:32.864
4578,2020,15,max_verstappen,max_verstappen,33,3,2,2,19,57,+1.254,10788769,48,,Finished,1:32.014
4579,2020,15,albon,albon,23,4,3,3,15,57,+8.005,10795520,41,,Finished,1:33.684
4580,2020,15,norris,norris,4,9,4,4,12,57,+11.337,10798852,53,,Finished,1:33.588
